burst_id,input_n_peaks,input_shot_sigma_ms,acf_sigma_ms,acf_fwhm_ms,acf_resid_rms,peak_count,peak_rate_per_ms,t90_ms,median_peak_width_ms,mean_peak_width_ms,median_sep_ms,mean_sep_ms,sep_cv,amplitude_entropy,amplitude_gini,profile_modulation_index,psd_slope,peak_threshold_sigma,min_peak_distance_ms,complexity_mode,used_will,will_method,duration_ms,tsamp_ms,dm,nfreq
moderate_n36_r01,36,0.08,0.5943580659566859,1.3996062876406312,0.11219128300934762,32,10.75268817204301,2.976,0.015957808164354447,0.0775264303577405,0.08,0.2028387096774194,1.2245347144860095,0.9021146312454348,0.4334012997175345,12.86527613276763,-2.292008309068604,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128
moderate_n36_r02,36,0.08,0.6838832975393191,1.6104220975074535,0.10527740487752724,39,10.46137339055794,3.728,0.01350946220068272,0.06305129123207426,0.08,0.1322105263157895,0.976352305313111,0.9506755257473931,0.3223222860604662,12.08290706802543,-2.381046434511692,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128
moderate_n36_r03,36,0.08,0.18159311422411975,0.427619105414552,0.07303974507554112,31,6.798245614035087,4.5600000000000005,0.016916638722200332,0.07887495996371427,0.08,0.19093333333333332,0.9336297070836638,0.8530001100140839,0.5275115110880111,14.020860147918611,-2.545201600772273,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128
moderate_n36_r04,36,0.08,0.3928175621539974,0.9250146694004239,0.08127480811586717,30,7.267441860465116,4.128,0.016567724513038458,0.07767385746521716,0.14400000000000002,0.20634482758620695,1.0848631878487431,0.9046827832446198,0.4051871735998276,12.501398807559918,-2.4411165526047705,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128
moderate_n36_r05,36,0.08,0.3719702662861765,0.8759230392061884,0.08473403619983166,34,9.042553191489361,3.7600000000000002,0.012172142561981219,0.06532295939838871,0.128,0.16096969696969696,0.9918469350535493,0.9302676890751397,0.35449105532434944,12.025388482507388,-2.4043462568542333,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128
dense_n03_r00,3,0.08,0.34307655200140963,0.8078835416330222,0.11194245697630015,3,3.232758620689655,0.928,0.18375359576305528,0.1743691989809507,0.376,0.376,0.1914893617021277,0.9991152679166264,0.023007128123005982,23.75744442920512,-3.0084924242677524,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n03_r01,3,0.08,0.09899002663107796,0.23310369896900987,0.15133003116484378,4,2.9069767441860463,1.3760000000000001,0.18757419283191804,0.14352257755368691,0.5760000000000001,0.5226666666666667,0.2362415694446985,0.7702402540333428,0.34196096226495043,24.233289756080367,-3.0875740308511794,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n03_r02,3,0.08,0.10108221006196895,0.2380304144499536,0.10976000703179344,5,2.765486725663717,1.808,0.186224014587041,0.12350398424017513,0.30400000000000005,0.396,0.8472212813675548,0.6115211801187994,0.5523872487163415,25.81690298374622,-3.0558949089070437,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n03_r03,3,0.08,0.10513333565265136,0.24757008619583037,0.11903747673361807,4,2.7472527472527473,1.456,0.10198765376029814,0.10130157382399192,0.352,0.5226666666666667,0.48359165759480754,0.4873828553636966,0.5501531047348849,29.09077826294604,-3.674396656440391,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n03_r04,3,0.08,0.3063832363596319,0.7214773864411164,0.07413026837731704,4,5.555555555555555,0.72,0.10678565865590417,0.10327133187447567,0.16,0.18666666666666668,0.7417574277569811,0.9515108769392782,0.19234612000055673,25.591896898097218,-3.231030216079973,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n03_r05,3,0.08,0.10169661404793445,0.23947722527185208,0.11260904778617235,4,1.4124293785310735,2.832,0.18585167423220172,0.14439787894732808,0.736,0.8853333333333334,0.6021686264867373,0.766736494716576,0.3601231142347978,24.2935555115912,-3.1462795752592077,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n06_r00,6,0.08,0.24837490423292716,0.5848782031703392,0.07007210123494255,6,4.032258064516129,1.488,0.09954138860762214,0.10951756963966851,0.352,0.34559999999999996,0.5339952168628228,0.5785141048625798,0.5913741576210865,23.621882957806132,-3.034531007659961,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n06_r01,6,0.08,0.23472773191842175,0.5527415682461505,0.1544825919208628,8,5.2631578947368425,1.52,0.09097687544222982,0.10732364911507318,0.24,0.2445714285714286,0.6760052829915935,0.8061795251802341,0.4486693720470549,19.29303439823681,-2.8955657326887736,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n06_r02,6,0.08,0.3791488414353047,0.8928272918621165,0.16121880311878045,4,2.1739130434782608,1.84,0.19059960859322383,0.21427691992268955,0.544,0.5706666666666668,0.15242529374112238,0.9647203692672377,0.16921355567042307,19.981079598438875,-2.831995327987691,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n06_r03,6,0.08,0.1359289914033519,0.32008831365745266,0.06285896619425997,7,2.4717514124293785,2.832,0.15360187630517522,0.1672223860195532,0.31200000000000006,0.4506666666666667,0.7207528091400943,0.8734402681523057,0.33941404074859105,18.35263273604465,-2.927242649666581,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n06_r04,6,0.08,0.2841776377133498,0.6691871976369392,0.1200200858080823,4,2.11864406779661,1.8880000000000001,0.1762433679910091,0.18177490169613747,0.464,0.5866666666666667,0.3551277269931747,0.9564394398925254,0.17779746629053816,19.87825667721766,-3.1849297679465907,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
