burst_id,input_n_peaks,input_shot_sigma_ms,acf_sigma_ms,acf_fwhm_ms,acf_resid_rms,peak_count,peak_rate_per_ms,t90_ms,median_peak_width_ms,mean_peak_width_ms,median_sep_ms,mean_sep_ms,sep_cv,amplitude_entropy,amplitude_gini,profile_modulation_index,psd_slope,peak_threshold_sigma,min_peak_distance_ms,complexity_mode,used_will,will_method,duration_ms,tsamp_ms,dm,nfreq,complexity_score
clustered_n06_r02,6,0.08,0.15371016960140893,0.36195978850250465,0.1280332719014869,6,2.7573529411764706,2.176,0.14068057003869489,0.14201992603633115,0.368,0.4096,0.24155663802719235,0.7549515220888929,0.43408834863174284,19.774065969203054,-3.0422924238401876,5.0,0.04,clustered,True,twodim,12.0,0.016,220.0,128,0.06398044019727385
sparse_n24_r03,24,0.08,0.13281682279037632,0.31275971662410157,0.07013348740317243,35,4.198656429942418,8.336,0.01893766703719939,0.09214545156571947,0.264,0.27529411764705886,0.9152453468079101,0.8692384059523331,0.4920159891302338,12.041558040277689,-2.6264471273682863,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128,0.06679648669767371
moderate_n03_r04,3,0.08,0.16162054416838625,0.38058729709652583,0.0845617181508764,5,3.289473684210526,1.52,0.02119754609357369,0.10956716395133954,0.30400000000000005,0.40800000000000003,0.5859432469601543,0.6418843227527855,0.5172339097615031,26.561396255571605,-3.369837540424476,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128,0.07749711125107878
moderate_n06_r00,6,0.08,0.15747358457210497,0.37082195351326924,0.12778300927123404,10,3.0940594059405937,3.232,0.13993582852143255,0.10721618683575498,0.272,0.3786666666666667,0.8384718910499841,0.8610320767559938,0.39494935229886097,17.955609356553406,-2.7977857745882773,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128,0.0939130220056224
clustered_n12_r00,12,0.08,0.140574895735531,0.3310285823061641,0.11920523613121609,13,3.0317164179104474,4.288,0.0176341616150562,0.1058178962431182,0.304,0.37600000000000006,0.811770211769601,0.7198042876379158,0.6167670156742269,18.61071032586712,-2.879389898311613,5.0,0.04,clustered,True,twodim,12.0,0.016,220.0,128,0.11751366539531621
clustered_n03_r04,3,0.08,0.14255006434635648,0.33567974894325187,0.1295266556259233,4,1.6339869281045751,2.448,0.12504431791400747,0.1593211114179171,0.336,0.8586666666666667,0.9681474667527312,0.7841054930540925,0.3072355738953234,24.630430213579587,-3.1517829614707895,5.0,0.04,clustered,True,twodim,12.0,0.016,220.0,128,0.13455109887012157
moderate_n06_r02,6,0.08,0.13548436311670764,0.319041294055475,0.12228861963251657,9,3.4298780487804876,2.624,0.09998173539849722,0.10521387884730021,0.312,0.334,0.19814840847633886,0.6619035303419033,0.617259289326491,20.473018892458942,-3.137558220579097,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128,0.1632189523669313
clustered_n24_r03,24,0.08,0.17841421811833244,0.42013337714357324,0.12482898043599726,12,4.411764705882352,2.72,0.016853775068961116,0.07987958914955622,0.14400000000000002,0.27345454545454545,1.1464215981743042,0.8394904200905461,0.46547881478265696,19.496753108544176,-2.7719332272274833,5.0,0.04,clustered,True,twodim,12.0,0.016,220.0,128,0.27334780731468233
moderate_n12_r00,12,0.08,0.1425165954432666,0.33560093569937066,0.15370174705537246,12,4.545454545454545,2.64,0.12687993662448707,0.12674575858748577,0.256,0.27490909090909094,0.7530719633157223,0.9081103029156349,0.3186514843868973,15.964196403749048,-2.66096627283096,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128,0.3266045237808421
moderate_n24_r00,24,0.08,0.15939216055039823,0.3753398546848691,0.12871846491202665,27,4.753521126760564,5.68,0.020690030793631194,0.08755542466043623,0.20800000000000002,0.23753846153846153,1.2630058445322037,0.899044498288111,0.3947519860459392,12.515951754795362,-2.4278905778189337,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128,0.3383160989830988
